Q19560933	Seerat Kapoor
Q380666	Henry Wanyoike
Q1400196	Josphat Kiprono Menjo
Q16235683	Tokmac Nguen
Q26129311	Eric Johanna Omondi
Q26704283	Francesca Hayward
Q20948955	Shadrack Kipchirchir
Q25712400	Hillary Bor
Q45295284	Lawrence Cherono
Q434988	Grace Wanjiru
Q514394	Joyce Aluoch
Q982706	John Cheruiyot Korir
Q2607345	Kenneth Marende
Q3065001	Patrick Osiako
Q4357157	Amos Ekhalie
Q26905832	Fadumo Dayib
Q457807	Jackline Maranga
Q16636410	Flomena Cheyech Daniel
Q18207475	Wangui wa Goro
Q18637834	Aboud Omar
Q19833448	Phyllis Omido
Q262164	Alex Obanda
Q3294200	Mark Peploe
Q3574458	Zablon Amanaka
Q4274955	Jonathan Kiplimo Maiyo
Q7563914	Sospeter Machage
Q9212956	Duncan Ochieng
Q1508021	George Owino
Q2543837	William Mervyn
Q2872130	Austin Makacha
Q2924945	Brian Onyango
Q3161318	James Omondi
Q3401401	Pratibha Parmar
Q3530672	Thomas Odoyo
Q3531610	Collins Obuya
Q274701	Pamela Chepchumba
Q370927	Daniel Rono
Q530703	Martha Komu
Q720502	Daniel Njenga
Q1165511	Daphne Sheldrick
Q2076269	Peter Kimeli Some
Q2214386	Salim Kipsang
Q2276196	Shad
Q346342	Joshua Chelanga
Q457005	Emily Chebet
Q950882	Patrick Konchellah
Q1530196	Raphael S. Ndingi Mwana a'Nzeki
Q456459	David Kimutai
Q1708386	Josephat Machuka
Q1984913	Nicholas Kemboi
Q2029525	Benson Gicharu
Q2646864	Alice Chelangat
Q3529938	Jimmy Kamande
Q6502885	Lavy Pinto
Q7026864	Nick Carter
Q7193063	Steve Tikolo
Q9140257	Adam Shaban
Q15839344	Jane Brotherton Walker
Q31288555	Emmanuel Korir
Q47531099	Monica Juma
Q57531804	Paula Ingabire
Q110586	Sarah Chepchirchir
Q539821	Charity Ngilu
Q55767537	Gladys Ngetich
Q525828	Paskalia Chepkorir Kipkoech
Q14475777	Seraphino Antao
Q21620956	Handwalla Bwana
Q351451	Wilfred Kibet Kigen
Q7176226	Peter Opiyo
Q16560409	Isaac Kimeli
Q20965975	Aron Koech
Q21033413	Rayton Okwiri
Q25893330	Leonard Essau Korir
Q21064336	Nini Wacera
Q23541275	Dorothy Wanja Nyingi
Q26132644	Shehzana Anwar
Q26238027	Peter Mungai Warui
Q30122529	Musa Mohammed
Q6698396	Lucy Kibaki
Q16845005	Clifton Miheso
Q308189	Abdilatif Abdalla
Q1607102	Henry Odera Oruka
Q20866969	Rosefline Chepngetich
Q16762462	Paul Were
Q20684905	Irene Koki Mutungi
Q26629032	Ato Malinda
Q3157575	Jacob Mulee
Q3161444	James Theuri
Q4333928	Joseph Olita
Q4706711	Alan Gillett
Q5896766	Joe Kadenge
Q10472489	James Siang'a
Q11034045	Zain Verjee
Q11816167	Philip Opiyo
Q1142644	Don Snow
Q1806304	Mercy Obiero
Q3048117	Edmund Morris
Q3437981	John Ertzgaard
Q3526875	Derek Pringle
Q3529672	Rakep Patel
Q3529807	Nehemiah Odhiambo
Q3529819	Elijah Otieno
Q3530767	Peter Ongondo
Q3642062	Bonaventure Maruti
Q3679858	Claudia Marsani
Q3898131	Paul Oyuga
Q4021142	Wycliffe Juma
Q5415883	Evans Ashira
Q114156	Henry Sugut
Q202077	Harry Thuku
Q386515	Iness Chepkesis Chenonge
Q443388	Mekubo Mogusu
Q456466	David Lelei
Q465785	Musa Amer Obaid
Q549335	Mohammed Al-Salhi
Q609494	Lydia Rotich
Q721048	William Kiplagat
Q1342506	Joseph Ngolepus
Q1532915	Mirella Ricciardi
Q1700229	John Githongo
Q2013450	Gedion Ngatuny
Q2090791	Walter Obare
Q2821838	Abraham Kiprotich
Q533736	Florence Barsosio
Q586134	Willy Munyoki Mutunga
Q1441610	Francis Kibiwott Larabal
Q1819023	Leonard Mucheru Maina
Q2570124	Wilberforce Talel
Q3066959	Leonard Kirwa Kosencha
Q4006760	Mwana Kupona
Q51794480	Wycliffe Kinyamal
Q743818	David Kimutai Too
Q1382543	Stephen Kiogora
Q2582587	Wilson Erupe
Q3017511	David Kiprotich Bett
Q3183250	Jonah Birir
Q3410965	Purity Cherotich Kirui
Q3810366	Josphat Bett Kipkoech
Q6792698	Maureen Jelagat Maiyo
Q6153638	Janet Wanja
Q6280935	Joseph Akhasamba
Q6298712	Jua Cali
Q7193054	Maurice Odumbe
Q7453101	Seren Waters
Q16170163	Surjeet Singh Deol
Q42728866	Jeannine Cook
Q459795	Nicholas Chelimo
Q2437154	Titus Mbishei
Q19788839	Rodgers Kwemoi
Q28018823	Josephine Kulea
Q519250	Margaret Wangari Muriuki
Q2084732	Roger Chapman
Q15984441	Anthony Dafaa
Q23541205	Phoebe Ruguru
Q24006889	Esther Passaris
Q34821605	Mark Otieno Odhiambo
Q467313	Julius Gitahi
Q1274276	Joseph Nzau
Q2086274	Philip Kipkurgat Manyim
Q3810227	Joseph Kamaru
Q4358037	Moody Awori
Q11831849	Purity Cherotich Rionoripo
Q12170059	Raychelle Omamo
Q43282064	Masoud Juma
Q7175166	Peter Kenneth
Q21055372	Mary Sellers
Q21472343	Emma Miloyo
Q21872628	Nana Gichuru
Q22004495	Muthoni Gathecha
Q22958101	Patricia Kihoro
Q24451795	Peter Deng
Q26252927	Erick Ouma Otieno
Q1701224	John Njenga
Q5297566	Dorcas Muthoni
Q28941823	Salim Kipkemboi
Q55584213	Paula Kahumbu
Q56877085	Nuni Omot
Q394409	Agnelo Gracias
Q449952	Saleh Ali Saleh Nabhan
Q1397386	Francis Kirwa
Q1827079	Linus Okok Okwach
Q2964649	Chris Bailey
Q3525519	Thomas Risley Odhiambo
Q4662729	Aasif Karim
Q8023155	Wilson Ndolo Ayah
Q47030854	Kenneth Muguna
Q323083	Aboud Rogo
Q3444756	Waruhiu Itote
Q17486544	Bruce Kamau
Q19787933	Justina Chepchirchir
Q20657447	Patrick Ngugi Njoroge
Q20895957	Jacinter Shikanda
Q21808639	Edwin Koech
Q24809850	Meryem Akdağ
Q26254391	Kiplangat Sang
Q60769907	Philemon Otieno
Q3179795	Job Koech Kinyor
Q3265064	Lucas Onyango
Q3484130	Simon Kipkemboi
Q3505879	Suzanna Owíyo
Q3731519	Eric Omondi Ongao
Q4746346	Amina Moghe Hersi
Q5019535	Calestous Juma
Q5442248	Felix Kibore
Q6308190	Julie Gichuru
Q6369212	Kareema Saleh Jasim
Q6780405	Mary Nakhumicha Zakayo
Q6873443	Miriam Were
Q7108730	Otieno Kajwang
Q7494057	Shem Ngoche
Q8068634	Zeituni Onyango
Q11728189	Jonathan Kiplimo Sawe
Q1565590	G. V. Desani
Q1740189	Kevin Kimani
Q2287621	Simon King
Q2790705	Tenniel Evans
Q3142291	Hugh McGregor Ross
Q3527583	Jamie Dalrymple
Q3531144	David Obuya
Q4734856	Alpesh Vadher
Q5233117	David Dunford
Q5360612	Margaret Kenyatta
Q5482113	Francis Ouma
Q5769763	Hiren Varaiya
Q1440035	Vincent Yator
Q1663732	Alan David Lee
Q2660549	Philip Mosima
Q2733305	Saba Douglas-Hamilton
Q1689395	Jimmy Muindi
Q1700672	John Kagwe
Q3898130	Paul Ngei
Q4865723	Bartonjo Rotich
Q8022567	Willy Komen
Q389885	Naomi Mugo
Q1441663	Francis Muthaura
Q4022686	Erastus J. O. Mwencha
Q4941983	Boniface Ambani
Q6140344	James Ngoche
Q7173580	Peter Dawo
Q9184828	Caroline Chepkoech Kipkirui
Q11727855	John Baraza
Q22083567	Peggoty Mutai
Q40829312	Mary Muthoni Nyanjiru
Q61996015	Fancy Cherono
Q6179266	Jenny Funnell
Q6181652	Jeremy Mackenzie
Q6389664	Kennedy Otieno
Q6443316	Kulvinder Ghir
Q7176208	Peter Odhiambo
Q7267016	Qasim Umar
Q7517625	Simeon Mulama
Q16234686	Irfan Karim
Q30930804	Tatsuki
Q36333247	Emily Cherotich Tuei
Q45884161	Peter Bulinga
Q52134845	Eric Kiptanui
Q54265459	Benjamin Kigen
Q55974072	Beatrice Chebet
Q57242693	Nanjira Sambuli
Q1701241	John Oballa Owaa
Q8054783	Yolimar Pineda
Q16185411	Musimbi Kanyoro
Q22005844	Janet Kirina
Q24951685	Mathieu Sawe
Q3484394	Simon Munyutu
Q5195846	Curtis Osano
Q5235835	David Kamau
Q6270845	Jon Hardy
Q6835289	Michael Werikhe
Q6850928	Mildred Alango
Q6915693	Moses Arita
Q12053090	Najib Balala
Q15141864	Pascaline Wangui
Q21066081	Sarah Hassan
Q62121505	Abdi Mohamed
Q522854	Queen Jane
Q565462	Anne Kosgei
Q1749502	Silas Sang
Q1954003	Musalia Mudavadi
Q6937046	Munyua Waiyaki
Q26459690	Charles Yosei Muneria
Q54670419	Joseph Deng
Q3531141	Morris Ouma
Q7365142	Ronald Ngala
Q17465593	Willy Ambaka
Q24450188	Joey Muthengi
Q17466524	Ingrid Mwangi
Q20684881	Mota Singh
Q21285314	Maureen Koech
Q22000374	Henry Bolton
Q28927312	Mary Esther Were
Q1682614	Jane Ngotho
Q1914896	Mbarak Hussein
Q5078050	Charles Gitonga
Q10525453	Sammy Onyango
Q16886272	Jacqui Uttien
Q18921489	Emmanuel Bundi
Q22037728	Suleiman Kangangi
Q274110	Magdaline Chemjor
Q60836183	Muthoni Drummer Queen
Q695310	Stephen Lloyd
Q793786	Azim Surani
Q1700321	Kennedy Ondiek
Q2875035	Ayub Ogada
Q3605010	Adam Solomon
Q5543466	Neil Aggett
Q7933218	Violet Barasa
Q13636306	Hitesh Modi
Q29594877	Joseph Okumu
Q10525355	Henry Motego
Q18211800	Willy Paul
Q27825245	David Maraga
Q56823709	Anne Mungai
Q6844971	Miguna Miguna
Q14942783	Ruhila Adatia-Sood
Q16146042	Salem Amer Al-Badri
Q16197716	Joseph Chirlee
Q16233454	Kevin Ondier Omondi
Q16236110	Edward Cheserek
Q18207143	Ruth Mumbi
Q18348342	Collins Tiego
Q21259711	Faith Osier
Q21622821	Haron Shakava
Q21808652	Josephat Muraya
Q24004768	Sarah Onyango Obama
Q24951166	Amos Omolo
Q27049931	Aliphine Tuliamuk-Bolton
Q281434	Angel Wainaina
Q677547	Shafique Keshavjee
Q710549	Arthur Magugu
Q60769597	Joash Onyango
Q68980772	Rosemary Wanjiru
Q87437997	Ciiru Waweru Waithaka
Q3290507	Margaret Maury
Q3434431	Robert K. Andersen
Q3734189	Hillary Ngetich
Q4221043	Nicholas Kipkemboi
Q4673664	Achieng Abura
Q4731002	Allan Thigo
Q4901609	Patrick Kipyegon Terer
Q5078057	Charles Gitonga Maina
Q6153257	Janet Cherobon-Bawcom
Q6174273	Jeff Koinange
Q7042500	Njuguna Ndung'u
Q7177475	Peter Varghese
Q7296711	Ravinder Bhogal
Q7365025	Ronald Kipchumba Rutto
Q7409814	Sammy Omollo
Q8565331	Fran Marshall
Q9358499	Tom Juma Oundo
Q9370685	Walter Odede
Q10508188	Julius Owino
Q11535454	Susie Figgis
Q1176280	David William Lister Read
Q1243863	Doreen Nabwire
