Q7257427	Public Investment Corporation
Q3054251	Engen Petroleum
Q5035822	Capitec Bank
Q7098937	Optimal Energy Joule
Q7841727	Triggerfish Animation Studios
Q18636508	Coca-Cola Beverages Africa
Q4861241	Barloworld Limited
Q5058146	Cell C
Q6998801	Netcare
Q15635385	Pebble Bed Modular Reactor
Q1225703	Dimension Data
Q5251737	Defy Appliances
Q7820998	Tongaat Hulett
Q4033498	African Explosives
Q3642635	MultiChoice
Q756685	Atlantis Diesel Engines
Q2070124	Perana Performance Group
Q16946492	Transwerk
Q19903743	Tsogo Sun
Q7190735	Pick n Pay
Q6994210	Neotel
Q379343	Advanced Automotive Design
Q4688472	Aerosud
Q5422520	Exxaro
Q2142945	Remgro
Q5172208	Coronation Fund Managers
Q6668716	MWEB
Q8074204	Zoopy
Q25388266	CAV vehicles
Q5532053	General Motors South Africa
Q384409	African Rainbow Minerals
Q2946616	Ceres Fruit Juices
Q4645275	Telkom Mobile
Q6443683	Kumba Iron Ore
Q7121107	PUTCO
Q26794437	TR-Tec
Q1201656	Deukom
Q7166182	Pep
Q7166318	Pepkor
Q3516786	Ubank Limited
Q5135861	Clover
Q5335743	Edcon
Q6217144	Johannesburg City Parks
Q7451187	Sentech
Q7570526	Southern Sun Hotel Group
Q12063032	DRDGOLD Limited
Q15727899	South African National Roads Agency
Q16058170	Afrihost
Q21580706	Cybatar Cloud
Q26794388	Alfa Romeo South Africa
Q6939094	Murray & Roberts
Q7581546	Spur Steak Ranches
Q7824387	StarSat
Q28434542	Simba
Q5204487	DCD Group (Pty) Ltd
Q4646762	@lantic
Q4689763	African Exploration Mining and Finance Corporation
Q6541825	Liberty Holdings Limited
Q6858114	Milkor (Pty) Ltd
Q6998343	NetSys
Q7669410	TASTE Holdings
Q7933968	Virgin Mobile South Africa
Q25345239	GTool
Q4931041	BoE Stockbrokers
Q5089126	Checkers
Q5134840	Clockwork Zoo
Q5415277	EvaluNet
Q5647664	Handspring Puppet Company
Q6006453	Imperial Cold Storage and Supply Company
Q7798962	Thunder City
Q17079933	Sekunjalo Investments
Q17080088	Nomanini
Q17090797	Snapplify
Q18354941	Santam
Q18636363	Distell Group Limited
Q24915968	Wootware
Q4915507	Bips Investment Managers
Q6484026	Land and Agricultural Development Bank of South Africa
Q7243387	Primedia Broadcasting
Q7451376	Sentraal-Suid Koöperasie
Q7951045	WIZZIT
Q18351032	Alexander Forbes Group Holdings
Q18636593	Rand Merchant Insurance Holdings
Q19903465	Momentum Metropolitan Holdings Limited
Q27926174	Broadband Infraco SOC Limited
Q6746662	Management College of Southern Africa
Q6929120	Mr. Price
Q7565776	South African Port Operations
Q7834728	Transnet Pipelines
Q17009675	Durban People Mover
Q17078632	NBS
Q17087971	SA Home Loans
Q28223156	RCL Foods Limited
Q29785741	Hetzner (Pty) Ltd
Q7196687	Pioneer Foods
Q17014544	Avis Southern Africa
Q4674255	Ackermans
Q4904284	Bidvest Bank Limited
Q17081067	OTEL Telecoms
Q4680951	Adcock Ingram
Q4849253	Bakers
Q4906007	Big Media Publishers
Q4941280	Bond Exchange of South Africa
Q5001695	Business Connexion Group
Q5070774	Chancellor House
Q5119218	Cibecs
Q5150576	Comazar
Q5333325	Econet Wireless
Q5419679	Exclusive Books
Q5609463	Grindrod Bank
Q6055678	Internet Solutions
Q6824279	Metorex
Q7251523	Protekon
Q7300946	Hollard
Q7388894	SA Waste Holdings
Q7597999	Stanbic Bank
Q7600087	Stanlib
Q7627754	Student Sponsorship Programme South Africa
Q5313316	Dulce Café
Q16162641	Viacom International Media Networks
Q17008542	Datatec
Q17049422	Vision Software
Q17055853	Imperial Bank South Africa
Q17108215	ACM Gold And Forex Trading
